SObject: SObject Name,SObjectField: SObjectField Name,type,isCustom
Order,ShippingAddress,ADDRESS,0
Order,Name,STRING,0
Order,PoDate,DATE,0
Order,PoNumber,STRING,0
Order,OrderReferenceNumber,STRING,0
Order,BillToContactId,REFERENCE,0
Order,ShipToContactId,REFERENCE,0
Order,ActivatedDate,DATETIME,0
Order,ActivatedById,REFERENCE,0
Order,StatusCode,PICKLIST,0
Order,OrderNumber,STRING,0
Order,TotalAmount,CURRENCY,0
Order,CreatedDate,DATETIME,0
Order,CreatedById,REFERENCE,0
Asset,InstallDate,DATE,0
Asset,PurchaseDate,DATE,0
Asset,UsageEndDate,DATE,0
Asset,Status,PICKLIST,0
Asset,Price,CURRENCY,0
Asset,Quantity,DOUBLE,0
Asset,Description,TEXTAREA,0
Asset,OwnerId,REFERENCE,0
Asset,LastViewedDate,DATETIME,0
Asset,LastReferencedDate,DATETIME,0
z_FieldDescription__c,Id,ID,1
z_FieldDescription__c,IsDeleted,BOOLEAN,1
z_FieldDescription__c,Name,STRING,1
z_FieldDescription__c,CreatedDate,DATETIME,1
z_FieldDescription__c,CreatedById,REFERENCE,1
z_FieldDescription__c,LastModifiedDate,DATETIME,1
z_FieldDescription__c,LastModifiedById,REFERENCE,1
z_FieldDescription__c,SystemModstamp,DATETIME,1
z_FieldDescription__c,z_SObjectDescription__c,REFERENCE,1
z_FieldDescription__c,byteLength__c,DOUBLE,1
z_FieldDescription__c,calculatedFormula__c,TEXTAREA,1
z_FieldDescription__c,defaultValueFormula__c,TEXTAREA,1
z_FieldDescription__c,digits__c,DOUBLE,1
z_FieldDescription__c,inlineHelpText__c,STRING,1
z_FieldDescription__c,isAccessible__c,BOOLEAN,1
z_FieldDescription__c,isAutoNumer__c,BOOLEAN,1
z_FieldDescription__c,isCalculated__c,BOOLEAN,1
Order,LastModifiedDate,DATETIME,0
Order,LastModifiedById,REFERENCE,0
Order,IsDeleted,BOOLEAN,0
Order,SystemModstamp,DATETIME,0
Order,LastViewedDate,DATETIME,0
Order,LastReferencedDate,DATETIME,0
Lead,Fax,PHONE,0
Lead,Email,EMAIL,0
Lead,Website,URL,0
Lead,PhotoUrl,URL,0
Lead,Description,TEXTAREA,0
Lead,LeadSource,PICKLIST,0
Lead,Status,PICKLIST,0
Lead,Industry,PICKLIST,0
Lead,Rating,PICKLIST,0
Lead,AnnualRevenue,CURRENCY,0
Lead,NumberOfEmployees,INTEGER,0
Lead,OwnerId,REFERENCE,0
Lead,HasOptedOutOfEmail,BOOLEAN,0
